Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2076-28-187 8:0:3.124	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.124	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.214	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.214	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.324	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.324	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.430	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.430	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.519	0.0	0.0005	1.0156	0.0	0.0	0.0	0.264	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.519	0.0	0.0005	1.0156	0.0	0.0	0.0	0.264	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.609	0.0	0.0	1.0151	0.0	0.0	0.0	0.264	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.609	0.0	0.0	1.0151	0.0	0.0	0.0	0.264	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.725	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.725	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.825	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.825	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.915	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:3.915	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.30	0.0	-0.0005	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.30	0.0	-0.0005	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.84	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.84	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.219	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.219	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.309	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.309	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.425	0.0	0.0005	1.0161	0.0	0.0	0.0	0.258	-1.642	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.425	0.0	0.0005	1.0161	0.0	0.0	0.0	0.258	-1.642	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.529	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.529	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.620	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.637	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.620	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.637	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.710	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.710	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.819	0.0005	0.0	1.0146	0.0	0.0	0.0	0.258	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.819	0.0005	0.0	1.0146	0.0	0.0	0.0	0.258	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.925	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.637	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:4.925	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.637	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.0	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.0	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.89	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.89	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.220	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.220	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.319	0.0	0.0	1.0146	0.0	0.0	0.0	0.258	-1.637	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
