Time,X,Y,Z
3.117,0.3656,-0.03604,0.24912
3.126,0.37301,-0.01188,0.24569
3.135,0.37979,0.01787,0.2408
3.145,0.38628,0.04701,0.23476
3.154,0.39308,0.07433,0.22683
3.163,0.3958,0.1028,0.2172
3.172,0.39748,0.13064,0.20429
3.182,0.40012,0.15031,0.19021
3.191,0.40211,0.16456,0.17761
3.2,0.40296,0.1746,0.16734
3.209,0.40477,0.18229,0.15824
3.219,0.40506,0.18866,0.14941
3.228,0.40508,0.19397,0.14045
3.237,0.40423,0.1986,0.12996
3.247,0.40371,0.20241,0.11637
3.256,0.40323,0.20471,0.09961
3.265,0.40328,0.20611,0.07892
3.274,0.40286,0.20625,0.05673
3.284,0.40282,0.20618,0.03474
3.293,0.40141,0.20659,0.01486
3.302,0.39901,0.2073,-0.0021
3.312,0.39737,0.20746,-0.01811
3.321,0.39451,0.20714,-0.03444
3.33,0.39045,0.20602,-0.05223
3.34,0.38541,0.20265,-0.07555
3.349,0.37812,0.19788,-0.09934
3.358,0.37017,0.19314,-0.12201
3.368,0.36161,0.18832,-0.14371
3.377,0.35332,0.18299,-0.16541
3.386,0.34516,0.17719,-0.18668
3.396,0.33712,0.1716,-0.20707
3.405,0.32942,0.16544,-0.22712
3.424,0.3104,0.15194,-0.26296
3.433,0.30013,0.14408,-0.27967
3.443,0.28822,0.13502,-0.29556
3.452,0.27506,0.12542,-0.31037
3.461,0.26211,0.11527,-0.32396
3.471,0.24831,0.10523,-0.33534
3.48,0.23669,0.09586,-0.3454
3.49,0.22604,0.0874,-0.35314
3.499,0.21819,0.08004,-0.35938
3.508,0.21104,0.07362,-0.36472
3.518,0.20505,0.06855,-0.36904
3.527,0.19917,0.06386,-0.3725
3.536,0.19265,0.06063,-0.37571
3.546,0.18737,0.0578,-0.37796
3.555,0.18242,0.0561,-0.37987
3.565,0.17729,0.05459,-0.38141
3.574,0.17149,0.05352,-0.38291
3.583,0.16563,0.05308,-0.3839
3.593,0.15923,0.05187,-0.38476
3.602,0.15277,0.05124,-0.38493
3.611,0.14576,0.04968,-0.38511
3.621,0.13913,0.04793,-0.3853
3.63,0.1333,0.04458,-0.38498
3.64,0.12883,0.04124,-0.3852
3.649,0.12623,0.03748,-0.38463
3.658,0.12565,0.03367,-0.38441
3.668,0.12688,0.0287,-0.38481
3.677,0.12895,0.0231,-0.38476
3.686,0.13099,0.01569,-0.38392
3.696,0.13216,0.00767,-0.38316
3.705,0.13292,-0.00416,-0.38149
3.724,0.13267,-0.03931,-0.37673
3.734,0.13179,-0.06185,-0.37293
3.743,0.12933,-0.086,-0.36843
3.753,0.12553,-0.11107,-0.36217
3.762,0.12073,-0.13439,-0.35397
3.771,0.11604,-0.15578,-0.34583
3.781,0.1118,-0.17505,-0.33761
3.79,0.10642,-0.19336,-0.32795
3.8,0.09812,-0.20956,-0.31798
3.809,0.08835,-0.22598,-0.30596
3.819,0.07454,-0.24275,-0.29104
3.828,0.05851,-0.26089,-0.27381
3.838,0.04084,-0.27925,-0.25483
3.847,0.02345,-0.29672,-0.23425
