,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Time,X,Y,Z,Magnitude,Filtered Magnitude
2025-02-05 05:00:38.970,-0.0004120603015075378,-9.798994974874372e-05,0.021362311557788945,0.0,0.0,0.0,28.34,106.6024941626633,35.204462930653264,8.070999829336973,0.4879488886992633,0.44126444861620734,0.35947777739852665,0.7496885576983247,0.7495718885286002
2025-02-05 05:00:38.971,,,,,,,,,,8.072,0.48795,0.44124,0.35948,0.749676,0.749574
2025-02-05 05:00:38.972,,,,,,,,,,8.073111047900785,0.48799888610763453,0.44121000170667884,0.3594899994311071,0.7496949989191034,0.7495749999431107
2025-02-05 05:00:38.973,,,,,,,,,,8.07422209580157,0.48804777221526907,0.4411800034133576,0.3594999988622141,0.7497139978382069,0.7495759998862214
2025-02-05 05:00:38.974,,,,,,,,,,8.075333428148822,0.4880966708385482,0.4411499974399818,0.3595100008533394,0.7497330016213449,0.7495770000853339
2025-02-05 05:00:38.975,,,,,,,,,,8.076444476049607,0.4881455569461827,0.4411199991466606,0.3595200002844465,0.7497520005404483,0.7495780000284447
2025-02-05 05:00:38.976,,,,,,,,,,8.077555523950393,0.48819444305381726,0.4410900008533394,0.35952999971555355,0.7497709994595517,0.7495789999715553
2025-02-05 05:00:38.977,,,,,,,,,,8.078666571851178,0.4882433291614518,0.4410600025600182,0.3595399991466606,0.7497899983786551,0.7495799999146661
2025-02-05 05:00:38.978,,,,,,,,,,8.079777619751964,0.48829221526908634,0.441030004266697,0.35954999857776765,0.7498089972977586,0.7495809998577767
2025-02-05 05:00:38.979,,,,,,,,,,8.080888952099215,0.48834111389236545,0.44099999829332115,0.3595600005688929,0.7498280010808966,0.7495820000568892
2025-02-05 05:00:38.980,-0.0004271356783919597,-9.547738693467333e-05,0.021340201005025126,0.0,0.0,0.0,28.34,106.60249415849246,35.20446292396985,8.082,0.48839,0.44097,0.35957,0.749847,0.749583
2025-02-05 05:00:38.981,,,,,,,,,,8.082899930880885,0.48834000383995085,0.4410089970048383,0.35957099992320096,0.749837800706551,0.7495840999155211
2025-02-05 05:00:38.982,,,,,,,,,,8.083800092158821,0.4882899948800655,0.4410480039935489,0.3595720001023987,0.7498285990579321,0.7495852001126385
2025-02-05 05:00:38.983,,,,,,,,,,8.084700023039705,0.4882399987200164,0.4410870009983872,0.35957300002559967,0.749819399764483,0.7495863000281596
2025-02-05 05:00:38.984,,,,,,,,,,8.08559995392059,0.4881900025599672,0.44112599800322555,0.3595739999488007,0.749810200471034,0.7495873999436807
2025-02-05 05:00:38.985,,,,,,,,,,8.086499884801475,0.48814000639991806,0.4411649950080639,0.35957499987200164,0.749801001177585,0.7495884998592018
2025-02-05 05:00:38.986,,,,,,,,,,8.087399815682359,0.4880900102398689,0.4412039920129022,0.3595759997952026,0.7497918018841359,0.7495895997747228
2025-02-05 05:00:38.987,,,,,,,,,,8.088299976960295,0.4880400012799836,0.44124299900161273,0.35957699997440035,0.749782600235517,0.7495906999718404
2025-02-05 05:00:38.988,,,,,,,,,,8.089199907841179,0.48799000511993446,0.44128199600645107,0.3595779998976013,0.7497734009420679,0.7495917998873615
2025-02-05 05:00:38.989,,,,,,,,,,8.090099838722065,0.4879400089598853,0.4413209930112894,0.3595789998208023,0.7497642016486189,0.7495928998028825
2025-02-05 05:00:38.990,-0.0004422110552763821,-9.296482412060299e-05,0.021318090452261306,0.0,0.0,0.0,28.34,106.6024941543216,35.20446291728643,8.091,0.48789,0.44136,0.35958,0.749755,0.749594
2025-02-05 05:00:38.991,,,,,,,,,,8.091999943110705,0.48796777335305497,0.4412988923654568,0.35954222437137334,0.7497516668562976,0.7495958887814314
2025-02-05 05:00:38.992,,,,,,,,,,8.092999886221412,0.4880455467061099,0.44123778473091363,0.3595044487427466,0.7497483337125952,0.7495977775628626
2025-02-05 05:00:38.993,,,,,,,,,,8.09399982933212,0.48812332005916487,0.44117667709637043,0.35946667311411995,0.7497450005688929,0.749599666344294
2025-02-05 05:00:38.994,,,,,,,,,,8.094999772442826,0.48820109341221984,0.4411155694618273,0.3594288974854932,0.7497416674251905,0.7496015551257253
2025-02-05 05:00:38.995,,,,,,,,,,8.095999971555353,0.48827888667652747,0.4410544461827284,0.35939111218568665,0.7497383334281488,0.7496034443907157
2025-02-05 05:00:38.996,,,,,,,,,,8.096999914666059,0.48835666002958245,0.44099333854818523,0.35935333655706,0.7497350002844464,0.7496053331721471
2025-02-05 05:00:38.997,,,,,,,,,,8.097999857776767,0.4884344333826374,0.44093223091364203,0.35931556092843325,0.7497316671407441,0.7496072219535783
2025-02-05 05:00:38.998,,,,,,,,,,8.099000056889293,0.48851222664694505,0.4408711076345432,0.35927777562862667,0.7497283331437024,0.7496091112185687
2025-02-05 05:00:38.999,,,,,,,,,,8.1,0.48859,0.44081,0.35924,0.749725,0.749611
2025-02-05 05:00:39.000,-0.000457286432160804,-9.045226130653265e-05,0.02129597989949749,0.0,0.0,0.0,28.34,106.60249415015075,35.20446291060301,8.101111047900785,0.4886222203891228,0.4408788849698487,0.3592366668562976,0.7497848854818523,0.7496235548412788
2025-02-05 05:00:39.001,,,,,,,,,,8.10222209580157,0.48865444077824555,0.4409477699396973,0.3592333337125953,0.7498447709637046,0.7496361096825578
2025-02-05 05:00:39.002,,,,,,,,,,8.103333143702354,0.4886866611673683,0.441016654909546,0.3592300005688929,0.7499046564455569,0.7496486645238366
2025-02-05 05:00:39.003,,,,,,,,,,8.104444476049608,0.4887188898054386,0.44108555751507567,0.35922666657185115,0.7499645572590738,0.7496612225793605
2025-02-05 05:00:39.004,,,,,,,,,,8.105555523950391,0.4887511101945614,0.4411544424849243,0.3592233334281488,0.7500244427409262,0.7496737774206395
2025-02-05 05:00:39.005,,,,,,,,,,8.106666571851177,0.4887833305836842,0.441223327454773,0.35922000028444645,0.7500843282227785,0.7496863322619183
