Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
1.259000,0.488150,0.440490,0.359230,0.749245,0.748849,2025-02-05 05:00:32.158
1.268000,0.488080,0.440970,0.358950,0.749348,0.748896,2025-02-05 05:00:32.158
1.278000,0.487860,0.440770,0.358920,0.749072,0.748884,2025-02-05 05:00:32.158
1.287000,0.487620,0.440920,0.358840,0.748966,0.748880,2025-02-05 05:00:32.186
1.296000,0.487490,0.441350,0.359000,0.749211,0.748914,2025-02-05 05:00:32.186
1.306000,0.487260,0.441060,0.358850,0.748819,0.748923,2025-02-05 05:00:32.186
1.315000,0.488320,0.441200,0.359170,0.749745,0.749053,2025-02-05 05:00:32.214
1.324000,0.487560,0.440630,0.359200,0.748929,0.749083,2025-02-05 05:00:32.214
1.333000,0.487590,0.440070,0.359290,0.748662,0.749116,2025-02-05 05:00:32.214
1.343000,0.487920,0.440350,0.359210,0.749003,0.749100,2025-02-05 05:00:32.242
1.352000,0.487300,0.440210,0.358950,0.748392,0.749015,2025-02-05 05:00:32.242
1.361000,0.487780,0.440110,0.359350,0.748838,0.748964,2025-02-05 05:00:32.242
1.370000,0.487940,0.439930,0.359050,0.748693,0.748926,2025-02-05 05:00:32.269
1.380000,0.487950,0.440330,0.359190,0.749001,0.748929,2025-02-05 05:00:32.269
1.389000,0.488280,0.440120,0.359710,0.749343,0.748942,2025-02-05 05:00:32.269
1.398000,0.488530,0.440520,0.359250,0.749520,0.749013,2025-02-05 05:00:32.297
1.408000,0.488550,0.440810,0.359460,0.749804,0.749019,2025-02-05 05:00:32.297
1.417000,0.487480,0.441170,0.359400,0.749290,0.749055,2025-02-05 05:00:32.297
1.426000,0.488120,0.440630,0.359310,0.749346,0.749123,2025-02-05 05:00:32.325
1.435000,0.487760,0.440650,0.359380,0.749157,0.749138,2025-02-05 05:00:32.325
1.445000,0.487400,0.440990,0.359220,0.749046,0.749204,2025-02-05 05:00:32.325
1.454000,0.487900,0.440940,0.359540,0.749496,0.749270,2025-02-05 05:00:32.353
1.463000,0.488270,0.440600,0.359240,0.749393,0.749340,2025-02-05 05:00:32.353
1.473000,0.487990,0.440900,0.359210,0.749372,0.749377,2025-02-05 05:00:32.353
1.482000,0.487740,0.440770,0.359030,0.749047,0.749347,2025-02-05 05:00:32.381
1.491000,0.488040,0.440500,0.359350,0.749237,0.749319,2025-02-05 05:00:32.381
1.500000,0.487750,0.440730,0.359050,0.749039,0.749242,2025-02-05 05:00:32.381
1.510000,0.487930,0.440580,0.358770,0.748934,0.749207,2025-02-05 05:00:32.409
1.519000,0.488380,0.440230,0.358910,0.749089,0.749181,2025-02-05 05:00:32.409
1.528000,0.488540,0.440530,0.358580,0.749211,0.749186,2025-02-05 05:00:32.409
1.538000,0.488340,0.440650,0.358470,0.749099,0.749192,2025-02-05 05:00:32.437
1.547000,0.488640,0.440490,0.358620,0.749272,0.749169,2025-02-05 05:00:32.437
1.556000,0.488350,0.440640,0.358980,0.749344,0.749164,2025-02-05 05:00:32.437
1.565000,0.488430,0.441070,0.358670,0.749500,0.749177,2025-02-05 05:00:32.464
1.575000,0.487890,0.440870,0.358640,0.749016,0.749174,2025-02-05 05:00:32.464
1.584000,0.488270,0.440850,0.359400,0.749616,0.749212,2025-02-05 05:00:32.464
1.593000,0.487660,0.440590,0.359220,0.748980,0.749206,2025-02-05 05:00:32.492
1.603000,0.487930,0.440400,0.359370,0.749116,0.749224,2025-02-05 05:00:32.492
1.612000,0.487840,0.440380,0.359640,0.749175,0.749233,2025-02-05 05:00:32.492
1.621000,0.488270,0.440880,0.359750,0.749802,0.749292,2025-02-05 05:00:32.520
1.630000,0.488200,0.440350,0.359430,0.749291,0.749311,2025-02-05 05:00:32.520
1.640000,0.488300,0.440460,0.359390,0.749402,0.749324,2025-02-05 05:00:32.520
1.649000,0.487670,0.440470,0.359140,0.748877,0.749278,2025-02-05 05:00:32.548
1.658000,0.487280,0.440560,0.359200,0.748705,0.749198,2025-02-05 05:00:32.548
1.668000,0.487670,0.440650,0.359030,0.748931,0.749190,2025-02-05 05:00:32.548
