Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2076-28-187 8:1:19.300,-0.0366,-0.0166,-0.5269,23.17,0.0,0.0
2076-28-187 8:1:19.310,-0.0825,-0.1479,-0.4805,23.29,0.0,0.0
2076-28-187 8:1:19.320,0.0527,-0.0508,-0.6143,22.85,0.0,0.0
2076-28-187 8:1:19.330,0.1162,-0.3281,-0.6309,22.98,0.0,0.0
2076-28-187 8:1:19.315,0.2197,-0.166,-0.6846,23.17,0.0,0.0
2076-28-187 8:1:19.325,0.2358,0.0132,-0.5552,22.79,0.0,0.0
2076-28-187 8:1:19.335,0.2769,0.0513,-0.6084,23.1,0.0,0.0
2076-28-187 8:1:19.359,0.3574,-0.0718,-0.6611,22.98,0.0,0.0
2076-28-187 8:1:19.369,0.3926,-0.1162,-0.6001,22.98,0.0,0.0
2076-28-187 8:1:19.379,0.3032,-0.0806,-0.5552,23.1,0.0,0.0
2076-28-187 8:1:19.389,0.144,-0.2471,-0.4717,23.29,0.0,0.0
2076-28-187 8:1:19.414,0.0483,0.0874,-0.7427,23.23,0.0,0.0
2076-28-187 8:1:19.424,-0.0762,0.1128,-0.8735,23.1,0.0,0.0
2076-28-187 8:1:19.434,-0.083,0.0337,-0.9009,22.91,0.0,0.0
2076-28-187 8:1:19.444,-0.0552,-0.2051,-0.9487,22.98,0.0,0.0
2076-28-187 8:1:19.454,0.1182,-0.2886,-0.9219,22.91,0.0,0.0
2076-28-187 8:1:19.464,0.2349,-0.2676,-0.7212,23.17,0.0,0.0
2076-28-187 8:1:19.474,0.2637,-0.376,-0.4824,23.1,0.0,0.0
2076-28-187 8:1:19.459,0.0996,-0.2573,-0.6948,22.98,0.0,0.0
2076-28-187 8:1:19.469,0.0693,-0.1245,-0.7065,23.17,0.0,0.0
2076-28-187 8:1:19.479,0.0098,-0.1504,-0.6694,22.91,0.0,0.0
2076-28-187 8:1:19.489,-0.0171,-0.0459,-0.7666,22.98,0.0,0.0
2076-28-187 8:1:19.515,0.0137,0.02,-0.8052,23.1,0.0,0.0
2076-28-187 8:1:19.525,0.0933,-0.0029,-0.7354,23.1,0.0,0.0
2076-28-187 8:1:19.535,0.1328,0.0474,-0.6274,22.98,0.0,0.0
2076-28-187 8:1:19.545,0.1025,0.165,-0.5566,22.98,0.0,0.0
2076-28-187 8:1:19.565,-0.0483,-0.0317,-0.3379,22.91,0.0,0.0
2076-28-187 8:1:19.575,-0.0981,-0.0063,-0.4292,23.1,0.0,0.0
2076-28-187 8:1:19.585,0.0264,0.0742,-0.2407,23.23,0.0,0.0
2076-28-187 8:1:19.595,-0.0708,-0.0518,-0.3247,22.98,0.0,0.0
2076-28-187 8:1:19.605,-0.0615,-0.0908,-0.397,22.91,0.0,0.0
2076-28-187 8:1:19.615,-0.082,-0.0913,-0.4097,23.17,0.0,0.0
2076-28-187 8:1:19.625,-0.0454,-0.0654,-0.3208,22.85,0.0,0.0
2076-28-187 8:1:19.614,-0.0225,0.0093,-0.1997,23.1,0.0,0.0
2076-28-187 8:1:19.624,-0.0405,0.0811,-0.1172,22.91,0.0,0.0
2076-28-187 8:1:19.634,-0.0586,0.0122,-0.1318,22.98,0.0,0.0
2076-28-187 8:1:19.644,-0.0566,0.0093,-0.0386,22.91,0.0,0.0
2076-28-187 8:1:19.664,-0.0908,-0.041,0.0,23.1,0.0,0.0
2076-28-187 8:1:19.674,-0.0718,-0.0068,0.0063,23.1,0.0,0.0
2076-28-187 8:1:19.684,-0.0557,0.0532,0.126,23.17,0.0,0.0
2076-28-187 8:1:19.694,-0.1655,0.0308,0.1953,23.23,0.0,0.0
2076-28-187 8:1:19.704,-0.167,0.0952,0.25,23.17,0.0,0.0
2076-28-187 8:1:19.714,-0.1646,0.0361,0.2861,23.17,0.0,0.0
2076-28-187 8:1:19.724,-0.2773,0.1001,0.3237,23.1,0.0,0.0
2076-28-187 8:1:19.714,-0.229,0.0649,0.4961,23.1,0.0,0.0
2076-28-187 8:1:19.724,-0.2109,0.104,0.5854,23.1,0.0,0.0
2076-28-187 8:1:19.734,-0.166,0.0903,0.6396,23.23,0.0,0.0
2076-28-187 8:1:19.744,-0.0674,0.0391,0.6318,23.1,0.0,0.0
2076-28-187 8:1:19.765,-0.0708,0.0044,0.7095,23.1,0.0,0.0
2076-28-187 8:1:19.775,-0.002,0.0918,0.7646,22.79,0.0,0.0
2076-28-187 8:1:19.785,-0.0435,0.1172,0.8936,22.91,0.0,0.0
2076-28-187 8:1:19.810,-0.0093,0.0298,0.9663,23.1,0.0,0.0
2076-28-187 8:1:19.820,0.166,0.0132,0.9326,23.23,0.0,0.0
2076-28-187 8:1:19.830,-0.1343,-0.064,0.8384,23.54,0.0,0.0
2076-28-187 8:1:19.840,-0.269,-0.0015,0.8447,23.17,0.0,0.0
2076-28-187 8:1:19.850,-0.1987,0.0352,0.3433,23.17,0.0,0.0
2076-28-187 8:1:19.860,-0.272,-0.0571,1.1709,22.91,0.0,0.0
2076-28-187 8:1:19.870,-0.4922,0.2573,0.9321,23.17,0.0,0.0
2076-28-187 8:1:19.880,-0.3228,0.1733,0.9414,23.17,0.0,0.0
2076-28-187 8:1:19.864,-0.3975,0.0889,0.8672,23.23,0.0,0.0
2076-28-187 8:1:19.874,-0.4268,0.1533,0.8813,22.98,0.0,0.0
2076-28-187 8:1:19.884,-0.5386,0.2124,0.8691,23.1,0.0,0.0
2076-28-187 8:1:19.909,-0.6763,0.2271,0.8252,22.91,0.0,0.0
2076-28-187 8:1:19.919,-0.6382,0.2012,0.835,22.98,0.0,0.0
2076-28-187 8:1:19.929,-0.519,0.062,0.8135,22.98,0.0,0.0
2076-28-187 8:1:19.939,-0.3062,0.1055,0.7437,22.98,0.0,0.0
2076-28-187 8:1:19.959,0.1948,0.2939,1.1108,23.23,0.0,0.0
2076-28-187 8:1:19.969,0.3433,0.3213,1.0557,22.98,0.0,0.0
2076-28-187 8:1:19.979,0.1694,0.3755,0.8999,23.17,0.0,0.0
2076-28-187 8:1:19.989,0.1338,0.3013,0.9258,23.35,0.0,0.0
2076-28-187 8:1:19.999,-0.0273,0.1636,0.8677,22.98,0.0,0.0
2076-28-187 8:1:20.9,-0.4072,-0.2378,0.521,23.1,0.0,0.0
2076-28-187 8:1:20.19,-0.2905,-0.1611,0.5137,23.23,0.0,0.0
2076-28-187 8:1:20.29,-0.1172,-0.1714,0.6318,22.85,0.0,0.0
2076-28-187 8:1:20.39,0.0317,0.0093,0.7983,22.98,0.0,0.0
2076-28-187 8:1:20.49,0.1157,0.2734,0.9443,23.23,0.0,0.0
2076-28-187 8:1:20.59,0.2656,0.1055,0.8965,22.85,0.0,0.0
2076-28-187 8:1:20.69,0.228,-0.0151,0.5908,22.98,0.0,0.0
2076-28-187 8:1:20.79,0.3008,0.0845,0.5938,23.1,0.0,0.0
2076-28-187 8:1:20.89,0.4673,0.0493,0.7266,23.17,0.0,0.0
2076-28-187 8:1:20.99,0.4629,-0.1221,0.9937,23.1,0.0,0.0
2076-28-187 8:1:20.65,0.2808,-0.0635,0.9146,23.29,0.0,0.0
2076-28-187 8:1:20.75,0.2119,-0.0469,0.8833,22.98,0.0,0.0
2076-28-187 8:1:20.85,0.145,0.1294,1.0366,22.91,0.0,0.0
2076-28-187 8:1:20.109,-0.0054,0.2686,0.8872,22.98,0.0,0.0
2076-28-187 8:1:20.119,0.1621,0.1089,0.7676,23.1,0.0,0.0
2076-28-187 8:1:20.129,0.1001,0.0171,1.001,22.98,0.0,0.0
2076-28-187 8:1:20.139,0.0386,0.0659,0.9121,22.98,0.0,0.0
2076-28-187 8:1:20.159,0.0518,0.1436,0.8745,22.85,0.0,0.0
2076-28-187 8:1:20.169,-0.0347,0.2832,0.6245,23.17,0.0,0.0
2076-28-187 8:1:20.179,0.3169,-0.0518,0.7227,22.98,0.0,0.0
2076-28-187 8:1:20.189,0.2803,-0.0811,0.7373,22.91,0.0,0.0
2076-28-187 8:1:20.214,0.3125,-0.0386,0.7158,22.98,0.0,0.0
2076-28-187 8:1:20.224,0.2773,-0.0137,0.5752,22.91,0.0,0.0
2076-28-187 8:1:20.234,0.2422,0.0249,0.5898,23.17,0.0,0.0
2076-28-187 8:1:20.244,0.2324,0.0435,0.5825,23.17,0.0,0.0
2076-28-187 8:1:20.254,0.186,0.1011,0.4834,23.23,0.0,0.0
2076-28-187 8:1:20.264,0.2349,0.1855,0.624,23.1,0.0,0.0
2076-28-187 8:1:20.274,0.2241,0.1353,0.54,23.23,0.0,0.0
2076-28-187 8:1:20.260,0.2549,0.0928,0.4653,22.98,0.0,0.0
2076-28-187 8:1:20.270,0.2705,0.0625,0.4341,23.17,0.0,0.0
2076-28-187 8:1:20.280,0.2485,0.0645,0.2793,23.1,0.0,0.0
2076-28-187 8:1:20.290,0.2217,0.1338,0.2856,23.17,0.0,0.0
2076-28-187 8:1:20.315,0.186,0.0962,0.2524,23.1,0.0,0.0
2076-28-187 8:1:20.325,0.146,0.0254,0.1606,23.1,0.0,0.0
2076-28-187 8:1:20.335,0.145,0.0864,0.2534,23.17,0.0,0.0
2076-28-187 8:1:20.359,0.1924,0.1021,0.2368,22.98,0.0,0.0
2076-28-187 8:1:20.369,0.1855,0.0654,0.2783,23.35,0.0,0.0
2076-28-187 8:1:20.379,0.1768,0.0649,0.3579,23.17,0.0,0.0
2076-28-187 8:1:20.389,0.1699,0.103,0.3413,23.23,0.0,0.0
2076-28-187 8:1:20.399,0.1499,0.0972,0.3408,23.29,0.0,0.0
2076-28-187 8:1:20.409,0.1494,0.0786,0.3716,22.91,0.0,0.0
2076-28-187 8:1:20.419,0.0605,0.1255,0.2827,23.17,0.0,0.0
2076-28-187 8:1:20.429,0.0601,0.106,0.3252,23.17,0.0,0.0
2076-28-187 8:1:20.414,0.1899,0.0332,0.2935,22.98,0.0,0.0
2076-28-187 8:1:20.424,0.1362,-0.0317,0.2954,22.98,0.0,0.0
2076-28-187 8:1:20.434,0.209,-0.0874,0.3159,23.1,0.0,0.0
2076-28-187 8:1:20.459,0.1445,0.0308,0.2227,23.29,0.0,0.0
2076-28-187 8:1:20.469,0.1006,0.061,0.1821,23.17,0.0,0.0
