Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 1:50:51.250,-0.0024,0.0029,1.0039,25.0,0.0,0.0
2024-12-14 1:50:51.260,0.0005,0.0029,1.0029,25.06,0.0,0.0
2024-12-14 1:50:51.270,0.0005,0.0024,1.0083,25.12,0.0,0.0
2024-12-14 1:50:51.280,0.0,0.0015,1.0044,25.25,0.0,0.0
2024-12-14 1:50:51.290,-0.0005,0.0029,1.0068,25.06,0.0,0.0
2024-12-14 1:50:51.300,-0.0005,0.0015,1.0078,25.0,0.0,0.0
2024-12-14 1:50:51.310,-0.0024,0.0005,1.0078,25.06,0.0,0.0
2024-12-14 1:50:51.299,-0.001,-0.001,1.0054,24.87,0.0,0.0
2024-12-14 1:50:51.309,0.001,0.0,1.0088,25.06,0.0,0.0
2024-12-14 1:50:51.319,0.0,-0.001,1.0039,25.12,0.0,0.0
2024-12-14 1:50:51.329,-0.001,-0.0015,1.0029,24.87,0.0,0.0
2024-12-14 1:50:51.350,0.0,-0.0044,1.0049,25.06,0.0,0.0
2024-12-14 1:50:51.360,-0.0015,-0.0005,1.0034,25.06,0.0,0.0
2024-12-14 1:50:51.370,0.0005,-0.002,1.0068,25.18,0.0,0.0
2024-12-14 1:50:51.380,0.0015,-0.0005,1.0063,25.12,0.0,0.0
2024-12-14 1:50:51.390,0.0015,-0.002,1.0015,25.18,0.0,0.0
2024-12-14 1:50:51.400,0.0024,-0.0015,1.0044,25.06,0.0,0.0
2024-12-14 1:50:51.410,0.0005,0.0005,1.0039,25.0,0.0,0.0
2024-12-14 1:50:51.399,-0.0005,0.0015,1.0024,25.18,0.0,0.0
2024-12-14 1:50:51.409,0.0005,0.0,1.0054,25.18,0.0,0.0
2024-12-14 1:50:51.419,0.0,0.0044,1.0049,25.25,0.0,0.0
2024-12-14 1:50:51.429,0.0,-0.001,1.0083,25.12,0.0,0.0
2024-12-14 1:50:51.450,0.0,0.0024,1.0049,25.06,0.0,0.0
2024-12-14 1:50:51.460,-0.0005,-0.001,1.0049,25.06,0.0,0.0
2024-12-14 1:50:51.470,0.0005,0.0015,1.0068,25.06,0.0,0.0
2024-12-14 1:50:51.480,-0.001,-0.0005,1.0044,25.18,0.0,0.0
2024-12-14 1:50:51.505,-0.001,0.0005,1.0083,25.06,0.0,0.0
2024-12-14 1:50:51.515,0.0,0.001,1.0068,25.12,0.0,0.0
2024-12-14 1:50:51.525,0.001,0.0005,1.0005,25.06,0.0,0.0
2024-12-14 1:50:51.535,0.001,-0.001,1.0063,25.25,0.0,0.0
2024-12-14 1:50:51.545,0.002,-0.001,1.0034,25.18,0.0,0.0
2024-12-14 1:50:51.555,0.0024,-0.0029,1.0063,25.31,0.0,0.0
2024-12-14 1:50:51.565,-0.001,0.001,1.0059,25.06,0.0,0.0
2024-12-14 1:50:51.549,0.0,-0.001,1.0049,25.06,0.0,0.0
2024-12-14 1:50:51.559,0.002,-0.002,1.0034,25.18,0.0,0.0
2024-12-14 1:50:51.569,-0.0005,-0.001,1.0029,25.06,0.0,0.0
2024-12-14 1:50:51.579,0.002,0.0,1.0054,25.12,0.0,0.0
2024-12-14 1:50:51.605,0.0,0.0,1.0054,25.06,0.0,0.0
2024-12-14 1:50:51.615,-0.0015,0.002,1.0049,25.06,0.0,0.0
2024-12-14 1:50:51.625,-0.002,0.002,1.0098,25.12,0.0,0.0
2024-12-14 1:50:51.635,0.0,0.001,1.0044,25.18,0.0,0.0
2024-12-14 1:50:51.654,0.0,0.0029,1.0073,25.06,0.0,0.0
2024-12-14 1:50:51.664,0.0,-0.0005,1.0073,25.06,0.0,0.0
2024-12-14 1:50:51.674,0.001,0.0005,1.0049,25.06,0.0,0.0
2024-12-14 1:50:51.684,0.0,0.0005,1.0059,25.25,0.0,0.0
2024-12-14 1:50:51.694,0.0005,0.0,1.0103,25.25,0.0,0.0
2024-12-14 1:50:51.704,0.0005,0.0034,1.0068,25.0,0.0,0.0
2024-12-14 1:50:51.714,0.0,0.0,1.0063,24.87,0.0,0.0
2024-12-14 1:50:51.705,0.0015,-0.0005,1.0015,25.06,0.0,0.0
2024-12-14 1:50:51.715,0.0005,-0.0024,1.0059,25.25,0.0,0.0
2024-12-14 1:50:51.725,0.0015,0.0005,1.0059,25.06,0.0,0.0
2024-12-14 1:50:51.735,0.001,0.0005,1.0073,25.06,0.0,0.0
2024-12-14 1:50:51.755,0.001,-0.001,1.0068,25.12,0.0,0.0
2024-12-14 1:50:51.765,0.001,-0.0024,1.0063,25.25,0.0,0.0
2024-12-14 1:50:51.775,-0.0005,-0.002,1.0049,25.06,0.0,0.0
2024-12-14 1:50:51.785,-0.0015,-0.0024,1.0059,25.06,0.0,0.0
2024-12-14 1:50:51.795,0.0,-0.0015,1.0059,25.18,0.0,0.0
