Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Temperature (°C),Longitude,Latitude
2024-12-14 2:0:56.950,-0.0039,0.002,1.0161,25.18,0.0,0.0
2024-12-14 2:0:56.960,-0.0054,0.0005,1.0093,25.06,0.0,0.0
2024-12-14 2:0:56.970,-0.0083,0.0005,1.0083,25.06,0.0,0.0
2024-12-14 2:0:56.980,-0.0063,0.0034,1.0049,25.12,0.0,0.0
2024-12-14 2:0:57.5,-0.001,-0.0024,1.0044,25.18,0.0,0.0
2024-12-14 2:0:57.15,0.001,-0.0029,1.0068,25.18,0.0,0.0
2024-12-14 2:0:57.25,-0.0024,-0.0024,1.0083,25.06,0.0,0.0
2024-12-14 2:0:57.35,0.001,-0.002,1.0059,25.18,0.0,0.0
2024-12-14 2:0:57.54,-0.0039,-0.0005,1.0122,25.37,0.0,0.0
2024-12-14 2:0:57.64,-0.0005,0.0005,1.002,25.18,0.0,0.0
2024-12-14 2:0:57.74,0.0,-0.002,1.0024,25.18,0.0,0.0
2024-12-14 2:0:57.84,0.001,0.0049,1.0034,25.18,0.0,0.0
2024-12-14 2:0:57.94,0.0049,0.0029,1.0039,25.25,0.0,0.0
2024-12-14 2:0:57.104,0.0059,0.001,1.0005,25.25,0.0,0.0
2024-12-14 2:0:57.114,0.0054,0.001,1.0073,25.12,0.0,0.0
2024-12-14 2:0:57.124,0.0039,0.0039,1.0039,25.0,0.0,0.0
2024-12-14 2:0:57.134,-0.0005,0.0015,1.0078,25.06,0.0,0.0
2024-12-14 2:0:57.144,-0.002,0.0015,1.0034,25.12,0.0,0.0
2024-12-14 2:0:57.154,-0.0039,0.0,1.0063,25.12,0.0,0.0
2024-12-14 2:0:57.164,-0.0039,-0.0024,1.0068,25.06,0.0,0.0
2024-12-14 2:0:57.174,-0.0029,-0.0034,1.0112,25.18,0.0,0.0
2024-12-14 2:0:57.184,-0.0015,-0.0054,1.0063,25.06,0.0,0.0
2024-12-14 2:0:57.149,-0.0039,0.0005,1.0054,25.06,0.0,0.0
2024-12-14 2:0:57.159,-0.0005,-0.001,1.0059,25.0,0.0,0.0
2024-12-14 2:0:57.169,-0.0005,-0.0015,1.0103,25.25,0.0,0.0
2024-12-14 2:0:57.179,-0.0024,0.0005,1.0088,25.12,0.0,0.0
2024-12-14 2:0:57.205,-0.0015,-0.0015,1.0034,25.18,0.0,0.0
2024-12-14 2:0:57.215,0.002,0.0005,1.0068,25.37,0.0,0.0
2024-12-14 2:0:57.225,0.0024,0.001,1.0103,25.18,0.0,0.0
2024-12-14 2:0:57.235,0.0015,0.0005,1.0029,25.31,0.0,0.0
2024-12-14 2:0:57.255,0.0039,0.0029,1.0029,25.12,0.0,0.0
2024-12-14 2:0:57.265,0.0029,0.0,1.001,25.06,0.0,0.0
2024-12-14 2:0:57.275,0.0,0.0005,1.0068,25.06,0.0,0.0
2024-12-14 2:0:57.299,-0.0024,0.0,1.0098,25.31,0.0,0.0
2024-12-14 2:0:57.309,0.001,-0.002,1.0098,25.18,0.0,0.0
2024-12-14 2:0:57.319,-0.002,-0.001,1.0078,25.06,0.0,0.0
2024-12-14 2:0:57.329,-0.0039,-0.0005,1.0103,24.87,0.0,0.0
2024-12-14 2:0:57.339,-0.0063,-0.0024,1.0059,25.12,0.0,0.0
2024-12-14 2:0:57.349,-0.0049,-0.002,1.0068,25.25,0.0,0.0
2024-12-14 2:0:57.359,-0.0034,0.001,1.0088,25.31,0.0,0.0
2024-12-14 2:0:57.369,0.0,-0.0005,1.0,25.12,0.0,0.0
2024-12-14 2:0:57.355,-0.001,-0.001,1.0083,25.37,0.0,0.0
2024-12-14 2:0:57.365,0.0015,-0.0005,1.0107,25.06,0.0,0.0
2024-12-14 2:0:57.375,0.0005,0.0,1.0078,25.06,0.0,0.0
2024-12-14 2:0:57.399,0.0,0.002,1.0083,25.06,0.0,0.0
2024-12-14 2:0:57.409,0.0,0.0024,1.0054,25.0,0.0,0.0
2024-12-14 2:0:57.419,0.0,0.0024,1.0049,25.18,0.0,0.0
2024-12-14 2:0:57.429,0.0034,0.001,1.0068,25.0,0.0,0.0
2024-12-14 2:0:57.455,0.0029,0.001,1.0044,25.06,0.0,0.0
2024-12-14 2:0:57.465,0.002,0.002,1.0059,25.18,0.0,0.0
2024-12-14 2:0:57.475,-0.0005,0.0,1.0029,25.06,0.0,0.0
2024-12-14 2:0:57.485,-0.0005,-0.002,1.0063,25.06,0.0,0.0
2024-12-14 2:0:57.495,-0.0015,-0.0005,1.0068,25.18,0.0,0.0
2024-12-14 2:0:57.505,-0.0024,-0.001,1.0049,25.25,0.0,0.0
2024-12-14 2:0:57.515,0.0,-0.0015,1.0059,25.25,0.0,0.0
2024-12-14 2:0:57.500,0.002,-0.0039,1.0078,25.12,0.0,0.0
2024-12-14 2:0:57.510,0.0034,-0.001,1.0078,25.12,0.0,0.0
2024-12-14 2:0:57.520,-0.002,0.001,1.0054,25.06,0.0,0.0
2024-12-14 2:0:57.530,0.001,0.0005,1.0059,25.12,0.0,0.0
2024-12-14 2:0:57.554,0.0,0.0015,1.0054,25.18,0.0,0.0
2024-12-14 2:0:57.564,-0.0015,0.001,1.0015,25.06,0.0,0.0
2024-12-14 2:0:57.574,0.001,0.0034,1.0054,25.18,0.0,0.0
2024-12-14 2:0:57.584,0.001,0.0015,1.0078,25.12,0.0,0.0
2024-12-14 2:0:57.605,0.0024,0.0,1.0083,25.12,0.0,0.0
2024-12-14 2:0:57.615,0.0005,-0.001,1.0049,25.12,0.0,0.0
2024-12-14 2:0:57.625,-0.001,-0.0015,1.0068,25.18,0.0,0.0
2024-12-14 2:0:57.635,-0.0005,0.0,1.0039,25.06,0.0,0.0
2024-12-14 2:0:57.645,-0.0024,-0.0024,1.0039,25.25,0.0,0.0
2024-12-14 2:0:57.655,-0.0015,-0.0005,1.0034,25.0,0.0,0.0
2024-12-14 2:0:57.665,-0.0044,-0.0024,1.0073,25.31,0.0,0.0
2024-12-14 2:0:57.654,0.0,-0.0029,1.0044,25.06,0.0,0.0
2024-12-14 2:0:57.664,0.0005,0.0034,1.0083,25.12,0.0,0.0
2024-12-14 2:0:57.674,0.002,0.0005,1.0098,25.06,0.0,0.0
2024-12-14 2:0:57.684,0.0005,0.0029,1.0049,25.06,0.0,0.0
2024-12-14 2:0:57.705,0.0,0.0029,1.0049,25.06,0.0,0.0
2024-12-14 2:0:57.715,0.0,0.002,1.0049,25.06,0.0,0.0
2024-12-14 2:0:57.725,0.0015,0.001,1.0083,25.06,0.0,0.0
2024-12-14 2:0:57.735,0.0005,0.0024,1.0049,25.12,0.0,0.0
2024-12-14 2:0:57.745,0.0015,0.0005,1.0068,25.06,0.0,0.0
2024-12-14 2:0:57.755,-0.001,0.001,1.0063,25.06,0.0,0.0
2024-12-14 2:0:57.765,-0.0005,-0.002,1.0073,25.06,0.0,0.0
2024-12-14 2:0:57.755,0.0,0.0005,1.0054,25.18,0.0,0.0
2024-12-14 2:0:57.765,0.0005,-0.002,1.0049,25.12,0.0,0.0
2024-12-14 2:0:57.775,-0.0015,0.001,1.0059,25.12,0.0,0.0
2024-12-14 2:0:57.785,-0.002,-0.001,1.0078,25.06,0.0,0.0
2024-12-14 2:0:57.804,0.001,-0.0024,1.0039,25.12,0.0,0.0
2024-12-14 2:0:57.814,-0.001,0.0,1.0049,25.25,0.0,0.0
2024-12-14 2:0:57.824,-0.001,0.0,1.0078,25.06,0.0,0.0
2024-12-14 2:0:57.850,-0.002,0.001,1.0068,25.12,0.0,0.0
2024-12-14 2:0:57.860,0.001,0.0,1.0073,25.06,0.0,0.0
2024-12-14 2:0:57.870,0.002,0.0044,1.0103,25.12,0.0,0.0
2024-12-14 2:0:57.880,0.001,0.001,1.0103,25.12,0.0,0.0
2024-12-14 2:0:57.890,0.0005,0.0015,1.0059,25.25,0.0,0.0
2024-12-14 2:0:57.900,0.0005,0.0029,1.0068,25.06,0.0,0.0
2024-12-14 2:0:57.910,0.0,0.0039,1.0073,25.12,0.0,0.0
2024-12-14 2:0:57.920,-0.0005,0.0,1.0054,25.06,0.0,0.0
2024-12-14 2:0:57.904,0.0,0.0,1.0063,25.12,0.0,0.0
2024-12-14 2:0:57.914,0.002,-0.0015,1.0068,25.12,0.0,0.0
2024-12-14 2:0:57.924,0.0,-0.0034,1.0083,25.06,0.0,0.0
2024-12-14 2:0:57.950,-0.0015,-0.0005,1.0034,25.25,0.0,0.0
2024-12-14 2:0:57.960,0.0005,0.0,1.0059,25.25,0.0,0.0
2024-12-14 2:0:57.970,-0.001,-0.0024,1.0063,25.25,0.0,0.0
2024-12-14 2:0:57.980,0.0,-0.0015,1.0073,25.06,0.0,0.0
2024-12-14 2:0:58.0,0.0,0.001,1.0063,25.18,0.0,0.0
2024-12-14 2:0:58.10,-0.001,0.002,1.0054,25.18,0.0,0.0
2024-12-14 2:0:58.20,0.0,0.0024,1.0068,25.0,0.0,0.0
2024-12-14 2:0:58.30,0.0,0.0044,1.0063,25.31,0.0,0.0
2024-12-14 2:0:58.40,-0.0005,0.0,1.0073,25.12,0.0,0.0
2024-12-14 2:0:58.50,0.0,0.0034,1.0063,25.06,0.0,0.0
2024-12-14 2:0:58.60,0.0,0.0,1.0044,25.25,0.0,0.0
2024-12-14 2:0:58.49,0.0,0.0,1.0088,25.12,0.0,0.0
2024-12-14 2:0:58.59,-0.0005,-0.0015,1.0059,25.12,0.0,0.0
2024-12-14 2:0:58.69,0.0005,0.0,1.0068,25.06,0.0,0.0
2024-12-14 2:0:58.79,-0.0005,-0.002,1.0068,25.12,0.0,0.0
2024-12-14 2:0:58.89,0.0005,-0.001,1.0098,25.06,0.0,0.0
2024-12-14 2:0:58.99,-0.001,-0.0015,1.0039,25.12,0.0,0.0
2024-12-14 2:0:58.109,-0.0005,0.0,1.0068,25.06,0.0,0.0
2024-12-14 2:0:58.119,0.0,0.0,1.0054,25.06,0.0,0.0
2024-12-14 2:0:58.129,0.002,-0.002,1.0054,25.06,0.0,0.0
2024-12-14 2:0:58.139,0.0029,0.0,1.0068,25.31,0.0,0.0
2024-12-14 2:0:58.149,0.0,0.001,1.0083,25.25,0.0,0.0
2024-12-14 2:0:58.149,0.0015,-0.0005,1.0059,25.18,0.0,0.0
2024-12-14 2:0:58.159,-0.001,0.0029,1.0063,25.06,0.0,0.0
2024-12-14 2:0:58.169,-0.0005,0.0044,1.0059,25.18,0.0,0.0
2024-12-14 2:0:58.179,0.0,0.0015,1.0078,25.06,0.0,0.0
2024-12-14 2:0:58.200,0.0005,0.001,1.0083,25.25,0.0,0.0
2024-12-14 2:0:58.210,0.0,0.002,1.0063,25.06,0.0,0.0
2024-12-14 2:0:58.220,-0.0005,0.0,1.0059,25.12,0.0,0.0
2024-12-14 2:0:58.230,-0.001,-0.002,1.0103,25.06,0.0,0.0
2024-12-14 2:0:58.255,-0.001,0.0,1.0093,25.18,0.0,0.0
2024-12-14 2:0:58.265,-0.0015,-0.0024,1.0054,25.06,0.0,0.0
2024-12-14 2:0:58.275,-0.002,-0.0039,1.0049,25.12,0.0,0.0
2024-12-14 2:0:58.285,-0.0015,-0.0005,1.0049,25.25,0.0,0.0
2024-12-14 2:0:58.295,0.0,-0.001,1.0049,25.06,0.0,0.0
2024-12-14 2:0:58.305,-0.0015,0.0005,1.0088,25.18,0.0,0.0
2024-12-14 2:0:58.315,0.0024,-0.001,1.0029,25.0,0.0,0.0
2024-12-14 2:0:58.299,0.002,0.0024,1.0029,25.06,0.0,0.0
2024-12-14 2:0:58.309,0.0015,0.0,1.0029,25.37,0.0,0.0
2024-12-14 2:0:58.319,0.002,0.0029,1.0059,25.18,0.0,0.0
2024-12-14 2:0:58.329,0.002,0.002,1.0054,25.06,0.0,0.0
2024-12-14 2:0:58.355,0.0015,0.0044,1.0044,25.31,0.0,0.0
2024-12-14 2:0:58.365,0.0005,0.001,1.0034,25.06,0.0,0.0
2024-12-14 2:0:58.375,0.0015,-0.001,1.0083,25.18,0.0,0.0
2024-12-14 2:0:58.399,0.0,0.001,1.0059,25.06,0.0,0.0
2024-12-14 2:0:58.409,-0.0005,-0.0015,1.0073,25.18,0.0,0.0
2024-12-14 2:0:58.419,-0.002,-0.0015,1.0063,25.18,0.0,0.0
2024-12-14 2:0:58.429,0.0,-0.001,1.0024,25.25,0.0,0.0
2024-12-14 2:0:58.439,-0.0034,-0.0044,1.0083,25.12,0.0,0.0
2024-12-14 2:0:58.449,-0.0015,-0.0024,1.0059,25.25,0.0,0.0
2024-12-14 2:0:58.459,0.0,-0.001,1.0049,25.06,0.0,0.0
2024-12-14 2:0:58.469,-0.0015,0.0,1.0049,25.12,0.0,0.0
2024-12-14 2:0:58.455,-0.001,0.0,1.0103,25.12,0.0,0.0
2024-12-14 2:0:58.465,-0.002,0.002,1.0063,25.06,0.0,0.0
2024-12-14 2:0:58.475,-0.0005,0.0029,1.0059,25.25,0.0,0.0
2024-12-14 2:0:58.500,0.0015,0.0024,1.0024,25.06,0.0,0.0
2024-12-14 2:0:58.510,0.0,-0.0005,1.0073,25.12,0.0,0.0
2024-12-14 2:0:58.520,0.0005,0.0024,1.0049,25.06,0.0,0.0
2024-12-14 2:0:58.530,0.0005,-0.0005,1.0054,25.25,0.0,0.0
2024-12-14 2:0:58.549,0.0,-0.0005,1.0054,25.12,0.0,0.0
2024-12-14 2:0:58.559,0.0015,0.002,1.0044,25.25,0.0,0.0
2024-12-14 2:0:58.569,-0.0015,0.0,1.0083,25.12,0.0,0.0
2024-12-14 2:0:58.579,-0.0015,-0.0005,1.0063,25.12,0.0,0.0
2024-12-14 2:0:58.589,0.001,-0.0034,1.0059,25.12,0.0,0.0
2024-12-14 2:0:58.599,-0.0024,-0.0044,1.0088,25.12,0.0,0.0
2024-12-14 2:0:58.609,-0.001,-0.0005,1.0083,25.06,0.0,0.0
2024-12-14 2:0:58.600,0.0,0.0015,1.0063,25.18,0.0,0.0
2024-12-14 2:0:58.610,-0.0024,-0.0024,1.0034,25.25,0.0,0.0
2024-12-14 2:0:58.620,-0.0015,0.001,1.0059,25.18,0.0,0.0
2024-12-14 2:0:58.630,-0.0015,0.0024,1.0063,25.06,0.0,0.0
2024-12-14 2:0:58.649,0.0005,0.002,1.0039,25.12,0.0,0.0
2024-12-14 2:0:58.659,0.0,0.0,1.0034,25.12,0.0,0.0
2024-12-14 2:0:58.669,0.002,0.0029,1.0015,25.18,0.0,0.0
2024-12-14 2:0:58.679,-0.0015,0.0005,1.0034,25.12,0.0,0.0
2024-12-14 2:0:58.689,-0.0005,0.0,1.0063,25.06,0.0,0.0
2024-12-14 2:0:58.699,0.001,0.0,1.0059,25.06,0.0,0.0
2024-12-14 2:0:58.709,-0.001,0.001,1.0063,25.25,0.0,0.0
2024-12-14 2:0:58.700,-0.001,-0.001,1.0073,25.12,0.0,0.0
2024-12-14 2:0:58.710,-0.001,0.0,1.0063,25.12,0.0,0.0
2024-12-14 2:0:58.720,0.0,-0.0039,1.0059,25.18,0.0,0.0
2024-12-14 2:0:58.730,0.0,0.001,1.0044,25.06,0.0,0.0
2024-12-14 2:0:58.750,-0.001,0.0,1.0,25.25,0.0,0.0
2024-12-14 2:0:58.760,0.001,-0.0005,1.0054,25.06,0.0,0.0
2024-12-14 2:0:58.770,0.0015,-0.001,1.0063,25.12,0.0,0.0
2024-12-14 2:0:58.780,0.0,-0.0015,1.0068,25.06,0.0,0.0
2024-12-14 2:0:58.804,0.002,0.0,1.0039,25.25,0.0,0.0
