Chiptime,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Angular_velocity_X (dps),Angular_velocity_Y (dps),Angular_velocity_Z (dps),Temperature (°C),Longitude,Latitude,Record Time
2025-1-26 19:26:30.109,0.0078,-0.0024,-0.1133,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.94,0.0068,-0.0029,-0.1133,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.104,0.0063,-0.0015,-0.1089,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.114,0.0073,-0.002,-0.1133,0.0,0.0,0.0,29.98,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.139,0.0078,-0.001,-0.1108,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.149,0.0093,-0.0015,-0.1143,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.159,0.0073,-0.0034,-0.1133,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.169,0.0073,-0.0034,-0.1128,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.195,0.0073,-0.0034,-0.1123,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.205,0.0073,-0.0015,-0.1118,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.215,0.0054,-0.0029,-0.1118,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.225,0.0073,-0.0015,-0.1108,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.245,0.0059,-0.002,-0.1108,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.255,0.0063,-0.0029,-0.1099,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.265,0.0088,-0.0029,-0.1152,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.275,0.0078,-0.0039,-0.1123,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.285,0.0063,-0.0039,-0.1123,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.295,0.0068,-0.0015,-0.1108,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.305,0.0063,-0.0029,-0.1113,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.294,0.0068,-0.0029,-0.1138,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.304,0.0059,-0.0049,-0.1104,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.314,0.0073,-0.002,-0.1099,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.324,0.0068,-0.0034,-0.1104,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.344,0.0068,-0.0024,-0.1089,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.354,0.0073,-0.0044,-0.1104,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.364,0.0068,-0.002,-0.1108,0.0,0.0,0.0,30.23,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.374,0.0068,-0.0024,-0.1099,0.0,0.0,0.0,30.11,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.384,0.0059,-0.0029,-0.1128,0.0,0.0,0.0,30.29,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.394,0.0073,0.0,-0.1118,0.0,0.0,0.0,30.17,0.0,0.0,2025-01-26 19:26:30
2025-1-26 19:26:30.404,0.0073,-0.002,-0.1079,0.0,0.0,0.0,30.04,0.0,0.0,2025-01-26 19:26:30
