Time,X,Y,Z
2.272,0.12216,-0.23408,0.22451
2.281,0.12158,-0.2342,0.22505
2.291,0.12184,-0.23454,0.22494
2.3,0.12154,-0.23466,0.22526
2.309,0.12151,-0.23409,0.22555
2.319,0.12194,-0.23437,0.22532
2.328,0.12242,-0.23414,0.22589
2.338,0.12214,-0.23387,0.22553
2.347,0.12222,-0.23434,0.22549
2.356,0.12212,-0.23422,0.2254
2.366,0.12319,-0.23455,0.22514
2.375,0.12189,-0.23408,0.22511
2.384,0.1222,-0.23378,0.22553
2.394,0.12136,-0.23375,0.22515
2.403,0.12139,-0.23408,0.22528
2.413,0.1215,-0.2342,0.22555
2.422,0.12173,-0.23396,0.22532
2.431,0.12175,-0.23377,0.22505
2.441,0.12207,-0.23375,0.22553
2.45,0.12265,-0.234,0.22566
2.459,0.12227,-0.23386,0.225
2.469,0.12256,-0.23409,0.22518
2.478,0.12269,-0.23428,0.22537
2.488,0.12228,-0.23405,0.22531
2.497,0.12213,-0.23411,0.22513
2.506,0.122,-0.23412,0.22528
2.516,0.12275,-0.23395,0.22513
2.525,0.12271,-0.23377,0.22528
2.534,0.12249,-0.23375,0.22547
2.544,0.12258,-0.2335,0.22565
2.553,0.12259,-0.23364,0.22517
2.562,0.12205,-0.23357,0.22529
2.572,0.12232,-0.23356,0.2253
2.581,0.12224,-0.23348,0.22564
2.591,0.12255,-0.2338,0.22508
2.6,0.12215,-0.23367,0.22528
2.609,0.12276,-0.23382,0.22521
2.619,0.12153,-0.2335,0.22546
2.628,0.1213,-0.23381,0.22565
2.637,0.12149,-0.23392,0.2255
2.647,0.12205,-0.2341,0.22532
2.656,0.12167,-0.23412,0.22522
2.666,0.12185,-0.23378,0.22537
2.675,0.12187,-0.234,0.22556
2.684,0.12209,-0.23352,0.22541
2.694,0.12211,-0.23339,0.22565
2.703,0.12168,-0.23354,0.22517
2.712,0.12207,-0.23348,0.22495
2.722,0.12211,-0.23339,0.22543
2.731,0.12243,-0.23354,0.22565
2.74,0.12193,-0.23331,0.22575
2.75,0.12274,-0.23354,0.22551
2.759,0.12239,-0.23364,0.22532
2.769,0.12257,-0.23424,0.22538
2.778,0.12269,-0.23413,0.22497
2.787,0.12249,-0.23395,0.22552
2.797,0.12236,-0.23402,0.22549
2.806,0.12224,-0.23394,0.22549
2.815,0.12234,-0.23393,0.22532
2.825,0.12192,-0.23351,0.2253
2.834,0.12166,-0.23339,0.22538
2.844,0.12185,-0.23338,0.22505
2.853,0.12208,-0.23379,0.22527
2.862,0.122,-0.2335,0.2253
2.872,0.12178,-0.23389,0.2253
2.881,0.12186,-0.23384,0.22547
2.89,0.12209,-0.23325,0.22532
2.9,0.12222,-0.23378,0.22564
2.909,0.12169,-0.2335,0.22533
2.919,0.12185,-0.23389,0.22539
2.928,0.12219,-0.23376,0.22522
2.937,0.12244,-0.23366,0.22504
2.947,0.12182,-0.23357,0.22519
2.956,0.12197,-0.23398,0.22537
2.965,0.12188,-0.23385,0.22522
2.975,0.12187,-0.23384,0.22495
2.984,0.1223,-0.23367,0.22526
2.994,0.12213,-0.23382,0.22513
3.003,0.12136,-0.23367,0.2252
3.012,0.12203,-0.23357,0.22512
3.022,0.12167,-0.2339,0.22536
3.031,0.12164,-0.23476,0.22539
3.04,0.12174,-0.23443,0.22548
3.05,0.12283,-0.23415,0.22523
3.059,0.12229,-0.23345,0.22496
3.069,0.12277,-0.23338,0.22476
3.078,0.12228,-0.23371,0.22457
3.087,0.12267,-0.23408,0.22489
3.097,0.1226,-0.23336,0.22475
3.106,0.1227,-0.23362,0.22491
3.115,0.12195,-0.23382,0.22475
3.125,0.12263,-0.23367,0.22491
3.134,0.12227,-0.23349,0.22475
3.143,0.12256,-0.23372,0.22508
3.153,0.12215,-0.23408,0.22511
3.162,0.12201,-0.2337,0.22494
3.172,0.12275,-0.23391,0.22518
3.181,0.12228,-0.23393,0.22495
3.19,0.1218,-0.23393,0.22501
3.2,0.12122,-0.23377,0.22519
3.209,0.12191,-0.23392,0.22529
3.218,0.12231,-0.23401,0.22538
3.228,0.12267,-0.23377,0.22522
3.237,0.12184,-0.23341,0.22495
3.247,0.12176,-0.23338,0.22493
3.256,0.12197,-0.23312,0.22501
3.265,0.1221,-0.23302,0.22493
3.275,0.12168,-0.23351,0.22509
3.284,0.12196,-0.23356,0.22528
3.293,0.1221,-0.23364,0.22538
3.303,0.12243,-0.23349,0.22522
3.312,0.12214,-0.23397,0.22495
3.322,0.12233,-0.23369,0.22526
3.331,0.1217,-0.23366,0.2253
3.34,0.12185,-0.23382,0.22505
3.35,0.12273,-0.23342,0.22502
3.359,0.12206,-0.23338,0.22485
3.368,0.12211,-0.23338,0.225
3.378,0.12222,-0.23338,0.22476
3.387,0.12234,-0.23338,0.22482
3.396,0.12246,-0.23304,0.22508
3.406,0.12258,-0.23359,0.22545
3.415,0.12248,-0.23356,0.22481
3.425,0.12172,-0.23339,0.22542
