Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp,Timestamp
1.328000,-0.417920,0.454010,0.323360,0.696666,0.696429,2025-02-05 03:39:28.367,2025-02-05 03:39:28.367
1.338000,-0.418080,0.454030,0.323300,0.696747,0.696473,2025-02-05 03:39:28.367,2025-02-05 03:39:28.376
1.347000,-0.418100,0.453860,0.323210,0.696607,0.696542,2025-02-05 03:39:28.367,2025-02-05 03:39:28.385
1.357000,-0.418860,0.453930,0.323290,0.697146,0.696608,2025-02-05 03:39:28.395,2025-02-05 03:39:28.395
1.366000,-0.418390,0.453600,0.323460,0.696728,0.696657,2025-02-05 03:39:28.395,2025-02-05 03:39:28.404
1.375000,-0.418450,0.453820,0.323140,0.696759,0.696726,2025-02-05 03:39:28.395,2025-02-05 03:39:28.413
1.385000,-0.418240,0.453760,0.323450,0.696737,0.696725,2025-02-05 03:39:28.423,2025-02-05 03:39:28.423
1.394000,-0.418220,0.454090,0.323650,0.697033,0.696777,2025-02-05 03:39:28.423,2025-02-05 03:39:28.432
1.403000,-0.418650,0.454290,0.323840,0.697510,0.696868,2025-02-05 03:39:28.423,2025-02-05 03:39:28.441
1.413000,-0.418370,0.454140,0.323270,0.696979,0.696891,2025-02-05 03:39:28.451,2025-02-05 03:39:28.451
1.422000,-0.418560,0.454120,0.323290,0.697090,0.696934,2025-02-05 03:39:28.451,2025-02-05 03:39:28.460
1.432000,-0.418360,0.454040,0.323550,0.697038,0.696963,2025-02-05 03:39:28.451,2025-02-05 03:39:28.469
1.441000,-0.418240,0.454280,0.323240,0.696979,0.697000,2025-02-05 03:39:28.479,2025-02-05 03:39:28.479
1.450000,-0.417790,0.453720,0.323210,0.696330,0.696918,2025-02-05 03:39:28.479,2025-02-05 03:39:28.488
1.460000,-0.418390,0.454170,0.322950,0.696862,0.696932,2025-02-05 03:39:28.479,2025-02-05 03:39:28.497
1.469000,-0.418560,0.454210,0.322920,0.696977,0.696953,2025-02-05 03:39:28.507,2025-02-05 03:39:28.507
1.478000,-0.418040,0.453880,0.322590,0.696296,0.696909,2025-02-05 03:39:28.507,2025-02-05 03:39:28.516
1.488000,-0.417660,0.453510,0.323060,0.696045,0.696811,2025-02-05 03:39:28.507,2025-02-05 03:39:28.526
1.497000,-0.417630,0.453730,0.322930,0.696110,0.696671,2025-02-05 03:39:28.536,2025-02-05 03:39:28.536
1.507000,-0.417620,0.454170,0.323010,0.696428,0.696616,2025-02-05 03:39:28.536,2025-02-05 03:39:28.545
1.516000,-0.417950,0.454380,0.323180,0.696842,0.696591,2025-02-05 03:39:28.536,2025-02-05 03:39:28.554
1.525000,-0.417980,0.454150,0.323120,0.696682,0.696555,2025-02-05 03:39:28.564,2025-02-05 03:39:28.564
1.535000,-0.418410,0.453790,0.323110,0.696701,0.696527,2025-02-05 03:39:28.564,2025-02-05 03:39:28.573
1.544000,-0.417810,0.453670,0.322520,0.695989,0.696493,2025-02-05 03:39:28.564,2025-02-05 03:39:28.582
1.553000,-0.417860,0.453660,0.322380,0.695948,0.696402,2025-02-05 03:39:28.592,2025-02-05 03:39:28.592
1.563000,-0.418290,0.453320,0.322870,0.696212,0.696325,2025-02-05 03:39:28.592,2025-02-05 03:39:28.601
1.572000,-0.418550,0.453370,0.323080,0.696498,0.696346,2025-02-05 03:39:28.592,2025-02-05 03:39:28.610
1.582000,-0.418040,0.453460,0.322940,0.696185,0.696359,2025-02-05 03:39:28.620,2025-02-05 03:39:28.620
1.591000,-0.417880,0.453810,0.323260,0.696466,0.696395,2025-02-05 03:39:28.620,2025-02-05 03:39:28.629
1.600000,-0.418400,0.453920,0.323710,0.697058,0.696458,2025-02-05 03:39:28.620,2025-02-05 03:39:28.638
