Base_Time,Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
2025-02-05 04:36:07.655,0.776000,0.419830,0.451040,0.350030,0.708672,0.708463,2025-02-05 04:36:07.654
2025-02-05 04:36:07.664,0.785000,0.418960,0.450720,0.350210,0.708042,0.708399,2025-02-05 04:36:07.663
2025-02-05 04:36:07.673,0.794000,0.418870,0.450940,0.349720,0.707886,0.708327,2025-02-05 04:36:07.672
2025-02-05 04:36:07.683,0.804000,0.419180,0.451130,0.349840,0.708250,0.708296,2025-02-05 04:36:07.681
2025-02-05 04:36:07.691,0.813000,0.419540,0.451400,0.350190,0.708808,0.708341,2025-02-05 04:36:07.691
2025-02-05 04:36:07.701,0.822000,0.419570,0.451590,0.350050,0.708878,0.708348,2025-02-05 04:36:07.700
2025-02-05 04:36:07.710,0.831000,0.419360,0.451450,0.349540,0.708412,0.708316,2025-02-05 04:36:07.709
2025-02-05 04:36:07.720,0.841000,0.419230,0.451600,0.349570,0.708446,0.708326,2025-02-05 04:36:07.719
2025-02-05 04:36:07.729,0.850000,0.418790,0.451450,0.350500,0.708550,0.708389,2025-02-05 04:36:07.728
2025-02-05 04:36:07.738,0.859000,0.419280,0.451430,0.350080,0.708619,0.708456,2025-02-05 04:36:07.737
2025-02-05 04:36:07.747,0.868000,0.419220,0.451260,0.350210,0.708539,0.708443,2025-02-05 04:36:07.747
2025-02-05 04:36:07.757,0.878000,0.419220,0.451410,0.350390,0.708724,0.708511,2025-02-05 04:36:07.756
2025-02-05 04:36:07.766,0.887000,0.419110,0.451260,0.350580,0.708657,0.708588,2025-02-05 04:36:07.765
2025-02-05 04:36:07.775,0.896000,0.419100,0.451330,0.349760,0.708291,0.708592,2025-02-05 04:36:07.775
2025-02-05 04:36:07.784,0.905000,0.419640,0.450920,0.349760,0.708349,0.708546,2025-02-05 04:36:07.784
2025-02-05 04:36:07.794,0.915000,0.419690,0.450710,0.350350,0.708537,0.708512,2025-02-05 04:36:07.793
2025-02-05 04:36:07.803,0.924000,0.419700,0.450690,0.349990,0.708352,0.708506,2025-02-05 04:36:07.803
2025-02-05 04:36:07.812,0.933000,0.419910,0.451110,0.349610,0.708556,0.708517,2025-02-05 04:36:07.812
2025-02-05 04:36:07.822,0.943000,0.419500,0.451060,0.349660,0.708306,0.708493,2025-02-05 04:36:07.821
2025-02-05 04:36:07.831,0.952000,0.419790,0.451060,0.350000,0.708646,0.708496,2025-02-05 04:36:07.830
2025-02-05 04:36:07.840,0.961000,0.419490,0.450890,0.349610,0.708167,0.708458,2025-02-05 04:36:07.839
2025-02-05 04:36:07.849,0.970000,0.420000,0.450620,0.350160,0.708569,0.708443,2025-02-05 04:36:07.848
2025-02-05 04:36:07.859,0.980000,0.419730,0.450850,0.349800,0.708378,0.708415,2025-02-05 04:36:07.858
2025-02-05 04:36:07.868,0.989000,0.419380,0.450950,0.350010,0.708338,0.708420,2025-02-05 04:36:07.867
2025-02-05 04:36:07.877,0.998000,0.419130,0.450800,0.349780,0.707981,0.708383,2025-02-05 04:36:07.876
