Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
0.825000,0.391020,0.476970,0.553700,0.828843,0.829441,2025-02-05 04:22:39.973
0.834000,0.390750,0.476720,0.554110,0.828846,0.829312,2025-02-05 04:22:39.982
0.843000,0.390500,0.476860,0.554410,0.829009,0.829221,2025-02-05 04:22:39.992
0.853000,0.390910,0.476290,0.554350,0.828835,0.829133,2025-02-05 04:22:40.001
0.862000,0.391170,0.476480,0.554350,0.829066,0.829107,2025-02-05 04:22:40.010
0.871000,0.390980,0.477000,0.554600,0.829443,0.829093,2025-02-05 04:22:40.020
0.881000,0.391070,0.477140,0.554450,0.829466,0.829109,2025-02-05 04:22:40.029
0.890000,0.391400,0.476730,0.554100,0.829152,0.829117,2025-02-05 04:22:40.038
0.899000,0.391430,0.476860,0.554570,0.829555,0.829143,2025-02-05 04:22:40.047
0.909000,0.391440,0.476790,0.554200,0.829272,0.829149,2025-02-05 04:22:40.056
0.918000,0.391760,0.477120,0.553990,0.829472,0.829211,2025-02-05 04:22:40.065
0.927000,0.391250,0.476980,0.553890,0.829084,0.829235,2025-02-05 04:22:40.075
0.936000,0.390880,0.476550,0.554220,0.828883,0.829223,2025-02-05 04:22:40.084
0.946000,0.391270,0.476670,0.554580,0.829377,0.829277,2025-02-05 04:22:40.093
0.955000,0.391200,0.476850,0.554280,0.829246,0.829295,2025-02-05 04:22:40.103
0.964000,0.391090,0.477040,0.554170,0.829230,0.829274,2025-02-05 04:22:40.112
0.974000,0.390860,0.476470,0.554410,0.828955,0.829223,2025-02-05 04:22:40.121
0.983000,0.391270,0.476330,0.554350,0.829027,0.829210,2025-02-05 04:22:40.131
0.992000,0.391100,0.476820,0.554430,0.829282,0.829183,2025-02-05 04:22:40.140
1.002000,0.390970,0.476870,0.554440,0.829256,0.829181,2025-02-05 04:22:40.149
1.011000,0.391820,0.477290,0.554190,0.829732,0.829207,2025-02-05 04:22:40.159
1.020000,0.391150,0.477420,0.554080,0.829417,0.829241,2025-02-05 04:22:40.159
1.030000,0.391190,0.476680,0.554320,0.829171,0.829269,2025-02-05 04:22:40.159
